ortografi,PoS,RedPoS,xmin,xmax,speaker,turnummer,gold
men,CC,SKONJ,757.605,757.822,ACM,171,
altså,RGU,ADV,757.822,758.04,ACM,171,
i,SP,PRÃ†P,758.04,758.258,ACM,171,
aviserne,NCCPU==D,N,758.258,758.475,ACM,171,
der,U=,UNIK,758.475,758.634,ACM,171,
læser,VADR=----A-,V_PRES,758.634,758.792,ACM,171,
jeg,PP1CSN-NU,PRON_PERS,758.792,758.951,ACM,171,
næsten,RGU,ADV,758.951,759.244,ACM,171,
altid,RGU,ADV,759.244,759.537,ACM,171,
dem,PP3.PU-NU,PRON_PERS,759.537,759.671,ACM,171,
der,U=,UNIK,759.671,759.806,ACM,171,
er,VADR=----A-,V_PRES,759.806,759.94,ACM,171,
der,U=,UNIK,759.94,760.074,ACM,171,
...,,,760.074,761.007,ACM,171,
hvis,CS,UKONJ,761.007,761.102,ACM,171,
det,PP3NSU-NU,PRON_PERS,761.102,761.198,ACM,171,
er,VADR=----A-,V_PRES,761.198,761.294,ACM,171,
det,PD-NSU--U,PRON_DEMO,761.294,761.389,ACM,171,
.,,,761.389,761.437,ACM,171,
øh,I=,INTERJ,824.527,825.116,XNJ,186,
....,,,825.116,826.176,XNJ,186,
men,CC,SKONJ,826.176,826.244,XNJ,186,
det,PP3NSU-NU,PRON_PERS,826.244,826.312,XNJ,186,
er,VADR=----A-,V_PRES,826.312,826.38,XNJ,186,
en,PI-CSU--U,PRON_UBST,826.38,826.448,XNJ,186,
amerikansk,ANP.SU=IU,ADJ,826.448,826.698,XNJ,186,
film,NCCSU==I,N,826.698,826.948,XNJ,186,
ikke,RGU,ADV,826.948,827.198,XNJ,186,
...,,,827.198,828.04,XNJ,186,
øh,I=,INTERJ,830.261,831.082,ACM,189,
...,,,831.082,831.615,ACM,189,
jeg,PP1CSN-NU,PRON_PERS,831.615,831.74,ACM,189,
har,VADR=----A-,V_PRES,831.74,831.865,ACM,189,
ikke,RGU,ADV,831.865,831.99,ACM,189,
set,VAPA=S.I.-U,V_PARTC_PAST,831.99,832.114,ACM,189,
så,RGU,ADV,832.114,832.239,ACM,189,
mange,ANP.PU=.U,ADJ,832.239,832.364,ACM,189,
danske,ANP.PU=.U,ADJ,832.364,832.546,ACM,189,
i,SP,PRÃ†P,832.546,832.729,ACM,189,
biografen,NCCSU==D,N,832.729,833.545,ACM,189,
...,,,833.545,834.166,ACM,189,
altså,RGU,ADV,834.166,834.315,ACM,189,
jeg,PP1CSN-NU,PRON_PERS,834.315,834.463,ACM,189,
har,VADR=----A-,V_PRES,834.463,834.612,ACM,189,
set,VAPA=S.I.-U,V_PARTC_PAST,834.612,834.95,ACM,189,
øh,I=,INTERJ,834.95,835.289,ACM,189,
Den,NP--U==-,EGEN,835.289,835.47,ACM,189,
Kroniske,XZ,,835.47,835.943,ACM,189,
Uskyld,XZ,,835.943,836.204,ACM,189,
og,CC,SKONJ,836.204,836.465,ACM,189,
Kundskabens,NP--U==-,EGEN,836.465,837.13,ACM,189,
Træ,XZ,,837.13,837.466,ACM,189,
og,CC,SKONJ,837.466,837.802,ACM,189,
Zappa,NP--U==-,EGEN,837.802,838.031,ACM,189,
og,CC,SKONJ,838.031,838.26,ACM,189,
så,RGU,ADV,838.26,838.488,ACM,189,
nogle,PI-.PU--U,PRON_UBST,838.488,838.717,ACM,189,
men,CC,SKONJ,838.717,838.946,ACM,189,
....,,,838.946,841.059,ACM,189,
det,PP3NSU-NU,PRON_PERS,2.182,2.246,XMK,2,
er,VADR=----A-,V_PRES,2.246,2.31,XMK,2,
da,RGU,ADV,2.31,2.374,XMK,2,
også,RGU,ADV,2.374,2.438,XMK,2,
fordi,CS,UKONJ,2.438,2.665,XMK,2,
du,PP2CSN-NU,PRON_PERS,2.665,2.766,XMK,2,
har,VADR=----A-,V_PRES,2.766,2.866,XMK,2,
så,RGU,ADV,2.866,2.962,XMK,2,
nogle,PI-.PU--U,PRON_UBST,2.962,3.059,XMK,2,
stramme,ANP.PU=.U,ADJ,3.059,3.453,XMK,2,
bukser,NCCPU==I,N,3.453,3.805,XMK,2,
...,,,3.805,4.356,XMK,2,
ja,I=,INTERJ,24.112,24.228,XLS,15,
..,,,24.228,24.37,XLS,15,
ja,I=,INTERJ,24.37,24.526,XLS,15,
...,,,24.526,25.066,XLS,15,
øh,I=,INTERJ,25.066,25.322,XLS,15,
I,PP2CPN-NU,PRON_PERS,25.322,25.579,XLS,15,
skal,VADR=----A-,V_PRES,25.579,25.835,XLS,15,
tælle,VAF-=----A-,V_INF,25.835,26.057,XLS,15,
til,SP,PRÃ†P,26.057,26.279,XLS,15,
ti,AC---U=--,NUM,26.279,26.639,XLS,15,
..,,,26.639,26.891,XLS,15,
øh,I=,INTERJ,26.891,27.045,XLS,15,
en,PI-CSU--U,PRON_UBST,27.045,27.2,XLS,15,
ad,SP,PRÃ†P,27.2,27.354,XLS,15,
gangen,NCCSU==D,N,27.354,27.613,XLS,15,
og,CC,SKONJ,27.613,27.872,XLS,15,
skal,VADR=----A-,V_PRES,27.872,28.072,XLS,15,
I,PP2CPN-NU,PRON_PERS,28.072,28.273,XLS,15,
sige,VAF-=----A-,V_INF,28.273,28.485,XLS,15,
jeres,PO2..UPNU,PRON_POSS,28.485,28.697,XLS,15,
navn,NCNSU==I,N,28.697,28.909,XLS,15,
..,,,28.909,29.01,XLS,15,
skal,VADR=----A-,V_PRES,29.01,29.208,XLS,15,
vi,PP1CPN-NU,PRON_PERS,29.208,29.406,XLS,15,
starte,VAF-=----A-,V_INF,29.406,29.604,XLS,15,
med,SP,PRÃ†P,29.604,29.888,XLS,15,
Mahdi,XZ,,29.888,30.172,XLS,15,
...,,,30.172,31.064,XLS,15,
okay,I=,INTERJ,92.688,93.068,XLS,36,
...,,,93.068,93.861,XLS,36,
hvad,PT-.SU--U,PRON_INTER_REL,93.861,94.115,XLS,36,
med,SP,PRÃ†P,94.115,94.369,XLS,36,
..,,,94.369,94.651,XLS,36,
er,VADR=----A-,V_PRES,94.651,94.85,XLS,36,
der,U=,UNIK,94.85,95.048,XLS,36,
..,,,95.048,95.416,XLS,36,
forskellige,ANP.PU=.U,ADJ,95.416,95.767,XLS,36,
måder,NCCPU==I,N,95.767,95.938,XLS,36,
at,U=,UNIK,95.938,96.11,XLS,36,
tale,VAF-=----A-,V_INF,96.11,96.476,XLS,36,
arabisk,ANP.SU=IU,ADJ,96.476,96.841,XLS,36,
på,SP,PRÃ†P,96.841,96.96,XLS,36,
og,CC,SKONJ,96.96,97.079,XLS,36,
forskellige,ANP.PU=.U,ADJ,97.079,97.442,XLS,36,
måder,NCCPU==I,N,97.442,97.582,XLS,36,
at,U=,UNIK,97.582,97.722,XLS,36,
tale,VAF-=----A-,V_INF,97.722,97.946,XLS,36,
dansk,ANP.SU=IU,ADJ,97.946,98.295,XLS,36,
på,SP,PRÃ†P,98.295,98.56,XLS,36,
måske,RGU,ADV,98.56,98.824,XLS,36,
...,,,98.824,99.646,XLS,36,
så,RGU,ADV,304.297,304.695,ELL,78,
farver,NCCPU==I,N,304.695,305.094,ELL,78,
jeg,PP1CSN-NU,PRON_PERS,305.094,305.492,ELL,78,
he-,XZ,,305.492,305.837,ELL,78,
pigens,NCCSG==D,N_GEN,305.837,306.318,ELL,78,
hår,NCNSU==I,N,306.318,306.798,ELL,78,
det,PP3NSU-NU,PRON_PERS,306.798,307.013,ELL,78,
skal,VADR=----A-,V_PRES,307.013,307.228,ELL,78,
være,VAF-=----A-,V_INF,307.228,307.611,ELL,78,
..,,,307.611,307.857,ELL,78,
ja,I=,INTERJ,331.496,332.052,AAL,86,
undskyld,I=,INTERJ,332.052,332.609,AAL,86,
....,,,332.609,336.314,AAL,86,
det,PP3NSU-NU,PRON_PERS,336.314,336.431,AAL,86,
er,VADR=----A-,V_PRES,336.431,336.548,AAL,86,
jo,RGU,ADV,336.548,336.664,AAL,86,
ligesom,CS,UKONJ,336.664,336.781,AAL,86,
ikke,RGU,ADV,336.781,336.898,AAL,86,
min,PO1CSUSNU,PRON_POSS,336.898,337.194,AAL,86,
skyld,NCCSU==I,N,337.194,337.454,AAL,86,
vel,RGU,ADV,337.454,337.715,AAL,86,
..,,,337.715,338.083,AAL,86,
med,SP,PRÃ†P,353.636,353.814,MIH,95,
mi-,XZ,,353.814,353.991,MIH,95,
med,SP,PRÃ†P,354.302,354.418,MIH,95,
min,PO1CSUSNU,PRON_POSS,354.418,354.533,MIH,95,
fine,ANP.SU=DU,ADJ,354.533,354.958,MIH,95,
s-,XZ,,354.958,355.464,MIH,95,
skrift,NCCSU==I,N,355.464,355.969,MIH,95,
...,,,355.969,356.847,MIH,95,
ja,I=,INTERJ,356.847,357.071,ELL,96,
med,SP,PRÃ†P,357.071,357.274,ELL,96,
din,PO2CSUSNU,PRON_POSS,357.274,357.476,ELL,96,
meget,ANP---=-R,ADJ,357.476,357.679,ELL,96,
flotte,ANP.PU=.U,ADJ,357.679,357.948,ELL,96,
..,,,357.948,358.218,ELL,96,
ej,I=,INTERJ,416.755,416.94,AAL,123,
..,,,416.94,417.043,AAL,123,
ej,I=,INTERJ,417.043,417.203,AAL,123,
..,,,417.203,417.309,AAL,123,
stop,NCNSU==I,N,417.309,417.565,AAL,123,
der,U=,UNIK,417.565,417.761,AAL,123,
stop,NCNSU==I,N,417.761,417.957,AAL,123,
der,U=,UNIK,417.957,418.175,AAL,123,
æh,I=,INTERJ,418.175,418.607,AAL,123,
stop,NCNSU==I,N,418.607,419.039,AAL,123,
der,U=,UNIK,419.039,419.57,AAL,123,
....,,,419.57,421.736,AAL,123,
så,RGU,ADV,421.736,421.904,AAL,123,
skal,VADR=----A-,V_PRES,421.904,422.073,AAL,123,
han,PP3CSN-NU,PRON_PERS,422.073,422.241,AAL,123,
have,VAF-=----A-,V_INF,422.241,422.411,AAL,123,
en,PI-CSU--U,PRON_UBST,422.411,422.581,AAL,123,
grøn,ANPCSU=IU,ADJ,422.581,422.751,AAL,123,
trøje,NCCSU==I,N,422.751,423.18,AAL,123,
hendes,PO3..USNU,PRON_POSS,437.37,437.574,MIH,134,
ben,NCNPU==I,N,437.574,437.778,MIH,134,
de,PP3.PN-NU,PRON_PERS,437.778,437.886,MIH,134,
er,VADR=----A-,V_PRES,437.886,437.993,MIH,134,
bare,RGU,ADV,437.993,438.101,MIH,134,
bare,RGU,ADV,438.101,438.282,MIH,134,
ben,NCNPU==I,N,438.282,438.463,MIH,134,
hun,PP3CSN-NU,PRON_PERS,438.463,438.644,MIH,134,
har,VADR=----A-,V_PRES,438.644,438.826,MIH,134,
på,SP,PRÃ†P,438.826,439.007,MIH,134,
..,,,439.007,439.188,MIH,134,
okay,I=,INTERJ,460.871,461.108,AAL,140,
her,RGU,ADV,461.108,461.344,AAL,140,
hvis,CS,UKONJ,461.344,461.558,AAL,140,
du,PP2CSN-NU,PRON_PERS,461.558,461.772,AAL,140,
hvis,CS,UKONJ,461.772,462.043,AAL,140,
du,PP2CSN-NU,PRON_PERS,462.043,462.222,AAL,140,
skal,VADR=----A-,V_PRES,462.222,462.4,AAL,140,
bruge,VAF-=----A-,V_INF,462.4,462.571,AAL,140,
nogle,PI-.PU--U,PRON_UBST,462.571,462.742,AAL,140,
farver,NCCPU==I,N,462.742,463.054,AAL,140,
..,,,463.054,463.222,AAL,140,
der,U=,UNIK,505.856,505.992,ELL,160,
skal,VADR=----A-,V_PRES,505.992,506.128,ELL,160,
være,VAF-=----A-,V_INF,506.128,506.263,ELL,160,
en,PI-CSU--U,PRON_UBST,506.263,506.398,ELL,160,
lille,ANP.SU=.U,ADJ,506.398,506.534,ELL,160,
fuglerede,NC..U==.,N,506.534,507.213,ELL,160,
deroppe,RGU,ADV,507.213,507.656,ELL,160,
....,,,507.656,508.99,ELL,160,
xxx,XZ,,508.99,509.214,MIH,161,
jeg,PP1CSN-NU,PRON_PERS,509.214,509.438,MIH,161,
kan,VADR=----A-,V_PRES,509.438,509.568,MIH,161,
lige,RGU,ADV,509.568,509.699,MIH,161,
lave,VAF-=----A-,V_INF,509.699,509.83,MIH,161,
en,PI-CSU--U,PRON_UBST,509.83,509.96,MIH,161,
nogle,PI-.PU--U,PRON_UBST,509.96,510.218,MIH,161,
skyer,NCCPU==I,N,510.218,510.695,MIH,161,
....,,,510.695,511.794,MIH,161,
..,,,511.794,512.048,MIH,161,
...,,,512.048,512.622,MIH,161,
og,CC,SKONJ,519.788,519.926,MIH,166,
jeg,PP1CSN-NU,PRON_PERS,519.926,520.064,MIH,166,
så,RGU,ADV,520.064,520.202,MIH,166,
billeder,NCNPU==I,N,520.202,520.436,MIH,166,
af,SP,PRÃ†P,520.436,520.671,MIH,166,
mit,PO1NSUSNU,PRON_POSS,520.671,520.905,MIH,166,
hotel,NCNSU==I,N,520.905,521.194,MIH,166,
i,SP,PRÃ†P,521.194,521.482,MIH,166,
dag,NCCSU==I,N,521.482,521.77,MIH,166,
..,,,521.77,522.059,MIH,166,
er,VADR=----A-,V_PRES,521.097,521.29,MDI,167,
det,PP3NSU-NU,PRON_PERS,521.29,521.482,MDI,167,
okay,I=,INTERJ,521.482,521.674,MDI,167,
jeg,PP1CSN-NU,PRON_PERS,521.674,521.867,MDI,167,
laver,VADR=----A-,V_PRES,521.867,522.059,MDI,167,
græs,NCNSU==I,N,522.059,522.388,MDI,167,
hele,ANP.SU=DU,ADJ,522.388,522.672,MDI,167,
vejen,NCCSU==D,N,522.672,522.956,MDI,167,
derover,RGU,ADV,522.956,523.478,MDI,167,
...,,,523.478,524,MDI,167,
...,,,524,524.522,MDI,167,
Ella,NP--U==-,EGEN,524.522,524.829,MDI,167,
jeg,PP1CSN-NU,PRON_PERS,524.829,525.137,MDI,167,
laver,VADR=----A-,V_PRES,525.137,525.444,MDI,167,
græs,NCNSU==I,N,525.444,525.718,MDI,167,
hele,ANP.SU=DU,ADJ,525.718,525.991,MDI,167,
vejen,NCCSU==D,N,525.991,526.259,MDI,167,
derover,RGU,ADV,526.259,526.527,MDI,167,
flotte,ANP.PU=.U,ADJ,549.472,549.796,MIH,182,
skyer,NCCPU==I,N,549.796,550.198,MIH,182,
okay,I=,INTERJ,556.486,556.613,MIH,182,
men,CC,SKONJ,556.613,556.739,MIH,182,
vi,PP1CPN-NU,PRON_PERS,556.739,556.866,MIH,182,
kan,VADR=----A-,V_PRES,556.866,556.994,MIH,182,
også,RGU,ADV,556.994,557.122,MIH,182,
lave,VAF-=----A-,V_INF,557.122,557.307,MIH,182,
en,PI-CSU--U,PRON_UBST,557.307,557.491,MIH,182,
sol,NCCSU==I,N,557.491,557.676,MIH,182,
...,,,557.676,558.26,MIH,182,
der,U=,UNIK,617.212,617.38,AAL,213,
er,VADR=----A-,V_PRES,617.38,617.548,AAL,213,
mange,ANP.PU=.U,ADJ,617.548,617.716,AAL,213,
drenge,NCCPU==I,N,617.716,617.972,AAL,213,
der,U=,UNIK,617.972,618.227,AAL,213,
tror,VADR=----A-,V_PRES,618.227,618.396,AAL,213,
jeg,PP1CSN-NU,PRON_PERS,618.396,618.566,AAL,213,
kommer,VADR=----A-,V_PRES,618.566,618.868,AAL,213,
fra,SP,PRÃ†P,618.868,619.171,AAL,213,
..,,,619.171,619.391,AAL,213,
et,PI-NSU--U,PRON_UBST,619.391,619.546,AAL,213,
eller,CC,SKONJ,619.546,619.7,AAL,213,
andet,PI-NSU--U,PRON_UBST,619.7,619.855,AAL,213,
andet,PI-NSU--U,PRON_UBST,619.855,620.154,AAL,213,
land,NCNSU==I,N,620.154,620.454,AAL,213,
end,CS,UKONJ,620.454,620.713,AAL,213,
Danmark,NP--U==-,EGEN,620.713,621.145,AAL,213,
..,,,621.145,621.577,AAL,213,
..,,,646.105,646.361,ELL,222,
nej,I=,INTERJ,646.361,646.616,ELL,222,
det,PP3NSU-NU,PRON_PERS,646.616,646.872,ELL,222,
er,VADR=----A-,V_PRES,646.872,647.127,ELL,222,
en,PI-CSU--U,PRON_UBST,647.127,647.383,ELL,222,
halv,ANPCSU=IU,ADJ,647.383,647.638,ELL,222,
time,NCCSU==I,N,647.638,647.894,ELL,222,
jeg,PP1CSN-NU,PRON_PERS,759.645,759.846,ELL,265,
laver,VADR=----A-,V_PRES,759.846,760.046,ELL,265,
en,PI-CSU--U,PRON_UBST,760.046,760.247,ELL,265,
i,SP,PRÃ†P,760.247,760.448,ELL,265,
hendes,PO3..USNU,PRON_POSS,760.448,760.68,ELL,265,
hånd,NCCSU==I,N,760.68,760.913,ELL,265,
...,,,760.913,761.771,ELL,265,
årh,I=,INTERJ,780.84,780.976,MIH,271,
er,VADR=----A-,V_PRES,780.976,781.111,MIH,271,
den,PP3CSU-NU,PRON_PERS,781.111,781.246,MIH,271,
ikke,RGU,ADV,781.246,781.382,MIH,271,
fin,ANPCSU=IU,ADJ,781.382,781.594,MIH,271,
min,PO1CSUSNU,PRON_POSS,781.594,781.807,MIH,271,
blomst,NCCSU==I,N,781.807,782.508,MIH,271,
....,,,782.508,784.222,MIH,271,
den,PP3CSU-NU,PRON_PERS,784.222,784.354,MIH,271,
bliver,VADR=----A-,V_PRES,784.354,784.486,MIH,271,
meget,ANP.SU=IU,ADJ,784.486,784.618,MIH,271,
stor,ANPCSU=IU,ADJ,784.618,784.83,MIH,271,
i,SP,PRÃ†P,784.83,785.041,MIH,271,
det,PP3NSU-NU,PRON_PERS,785.041,785.253,MIH,271,
men,CC,SKONJ,785.253,785.514,MIH,271,
øh,I=,INTERJ,785.514,785.776,MIH,271,
ja,I=,INTERJ,785.776,786.037,MIH,271,
okay,I=,INTERJ,786.037,786.298,MIH,271,
....,,,786.298,787.748,MIH,271,
øh,I=,INTERJ,71.997,72.188,AKS,11,
ja,I=,INTERJ,72.378,72.569,AKS,11,
vi,PP1CPN-NU,PRON_PERS,72.569,72.76,AKS,11,
er,VADR=----A-,V_PRES,72.76,72.95,AKS,11,
i,SP,PRÃ†P,72.95,73.141,AKS,11,
gang,NCCSU==I,N,73.141,73.386,AKS,11,
med,SP,PRÃ†P,73.386,73.631,AKS,11,
at,U=,UNIK,73.631,73.876,AKS,11,
lave,VAF-=----A-,V_INF,73.876,74.121,AKS,11,
nogle,PI-.PU--U,PRON_UBST,74.121,74.366,AKS,11,
forskellige,ANP.PU=.U,ADJ,74.366,74.647,AKS,11,
emner,NCNPU==I,N,74.647,74.927,AKS,11,
i,SP,PRÃ†P,74.927,75.208,AKS,11,
de,PD-.PU--U,PRON_DEMO,75.208,75.489,AKS,11,
forskellige,ANP.PU=.U,ADJ,75.489,75.769,AKS,11,
fag,NCNPU==I,N,75.769,76.05,AKS,11,
..,,,85.049,85.255,XAS,18,
har,VADR=----A-,V_PRES,85.255,85.438,XAS,18,
det,PP3NSU-NU,PRON_PERS,85.438,85.621,XAS,18,
været,VAPA=S.I.-U,V_PARTC_PAST,85.621,85.804,XAS,18,
en,PI-CSU--U,PRON_UBST,85.804,85.987,XAS,18,
god,ANPCSU=IU,ADJ,85.987,86.17,XAS,18,
sommerferie,NCCSU==I,N,86.17,86.353,XAS,18,
..,,,92.439,92.862,AKS,23,
og,CC,SKONJ,92.862,93.05,AKS,23,
så,RGU,ADV,93.05,93.239,AKS,23,
har,VADR=----A-,V_PRES,93.239,93.427,AKS,23,
jeg,PP1CSN-NU,PRON_PERS,93.427,93.616,AKS,23,
været,VAPA=S.I.-U,V_PARTC_PAST,93.616,93.804,AKS,23,
ovre,RGU,ADV,93.804,93.993,AKS,23,
hos,SP,PRÃ†P,93.993,94.181,AKS,23,
min,PO1CSUSNU,PRON_POSS,94.181,94.37,AKS,23,
moster,NCCSU==I,N,94.37,94.558,AKS,23,
i,SP,PRÃ†P,94.558,94.747,AKS,23,
den,PD-CSU--U,PRON_DEMO,94.747,94.935,AKS,23,
sidste,ANP..U=.U,ADJ,94.935,95.124,AKS,23,
uge,NCCSU==I,N,95.124,95.312,AKS,23,
...,,,95.312,95.946,AKS,23,
hvor,RGU,ADV,95.946,96.304,AKS,23,
jeg,PP1CSN-NU,PRON_PERS,96.304,96.662,AKS,23,
så,RGU,ADV,96.662,97.02,AKS,23,
var,VADA=----A-,V_PAST,97.02,97.377,AKS,23,
til,SP,PRÃ†P,97.377,97.735,AKS,23,
Volbeatkoncert,XZ,,97.735,98.093,AKS,23,
jo,I=,INTERJ,115.95,116.584,AKS,33,
....,,,116.584,119.517,AKS,33,
....,,,119.517,120.848,AKS,33,
uh,XA,FORK,120.848,121.896,AKS,33,
...,,,121.896,122.606,AKS,33,
ikke,RGU,ADV,122.606,122.941,AKS,33,
en,PI-CSU--U,PRON_UBST,122.941,123.276,AKS,33,
særlig,ANPCSU=IU,ADJ,123.276,123.611,AKS,33,
stor,ANPCSU=IU,ADJ,123.611,123.946,AKS,33,
by,NCCSU==I,N,123.946,124.281,AKS,33,
..,,,124.281,124.611,AKS,33,
der,U=,UNIK,124.611,124.931,AKS,33,
sker,VADR=----A-,V_PRES,124.931,125.251,AKS,33,
noget,PI-NSU--U,PRON_UBST,125.251,125.571,AKS,33,
meget,ANP.SU=IU,ADJ,125.571,125.891,AKS,33,
ofte,RGP,ADV,125.891,126.211,AKS,33,
....,,,126.211,127.69,AKS,33,
der,U=,UNIK,127.69,127.841,AKS,33,
er,VADR=----A-,V_PRES,127.841,127.992,AKS,33,
det,PP3NSU-NU,PRON_PERS,127.992,128.143,AKS,33,
man,PI-C.N--U,PRON_UBST,128.143,128.294,AKS,33,
har,VADR=----A-,V_PRES,128.294,128.445,AKS,33,
brug,NCCSU==I,N,128.445,128.596,AKS,33,
for,SP,PRÃ†P,128.596,128.747,AKS,33,
....,,,157.888,159.261,AKS,45,
det,PD-NSU--U,PRON_DEMO,159.261,159.426,AKS,45,
meste,ANS.SU=DU,ADJ,159.426,159.592,AKS,45,
af,SP,PRÃ†P,159.592,159.757,AKS,45,
det,PP3NSU-NU,PRON_PERS,159.757,159.923,AKS,45,
det,PD-NSU--U,PRON_DEMO,159.923,160.088,AKS,45,
er,VADR=----A-,V_PRES,160.088,160.254,AKS,45,
på,SP,PRÃ†P,160.254,160.419,AKS,45,
min,PO1CSUSNU,PRON_POSS,160.419,160.584,AKS,45,
øh,I=,INTERJ,160.584,160.75,AKS,45,
min,PO1CSUSNU,PRON_POSS,160.75,160.915,AKS,45,
fars,NCCSG==I,N_GEN,160.915,161.081,AKS,45,
side,NCCSU==I,N,161.081,161.246,AKS,45,
....,,,161.246,162.675,AKS,45,
hvor,RGU,ADV,162.675,163.015,AKS,45,
jeg,PP1CSN-NU,PRON_PERS,163.015,163.356,AKS,45,
har,VADR=----A-,V_PRES,163.356,163.696,AKS,45,
...,,,163.696,164.587,AKS,45,
en,PI-CSU--U,PRON_UBST,164.587,165.08,AKS,45,
farfar,ANPCSU=IU,ADJ,165.08,165.573,AKS,45,
...,,,165.573,166.489,AKS,45,
en,PI-CSU--U,PRON_UBST,166.489,166.72,AKS,45,
kusine,NCCSU==I,N,166.72,166.951,AKS,45,
og,CC,SKONJ,166.951,167.183,AKS,45,
en,PI-CSU--U,PRON_UBST,167.183,167.414,AKS,45,
fætter,NCCSU==I,N,167.414,167.645,AKS,45,
jo,I=,INTERJ,242.528,243.376,AKS,67,
....,,,243.376,244.893,AKS,67,
..,,,244.893,245.325,AKS,67,
jeg,PP1CSN-NU,PRON_PERS,245.325,245.581,AKS,67,
var,VADA=----A-,V_PAST,245.581,245.837,AKS,67,
i,SP,PRÃ†P,245.837,246.093,AKS,67,
praktik,NCCSU==I,N,246.093,246.35,AKS,67,
i,SP,PRÃ†P,246.35,246.606,AKS,67,
uge,NCCSU==I,N,246.606,246.862,AKS,67,
seks,AC---U=--,NUM,246.862,247.118,AKS,67,
..,,,247.118,247.341,AKS,67,
i,SP,PRÃ†P,247.341,247.656,AKS,67,
ottende,AO---U=--,NUM_ORD,247.656,247.972,AKS,67,
klasse,NCCSU==I,N,247.972,248.287,AKS,67,
..,,,261.689,262.088,XAS,74,
ja,I=,INTERJ,262.088,262.377,XAS,74,
...,,,262.377,263.011,XAS,74,
okay,I=,INTERJ,263.011,263.146,XAS,74,
så,RGU,ADV,263.146,263.281,XAS,74,
du,PP2CSN-NU,PRON_PERS,263.281,263.417,XAS,74,
må,VADR=----A-,V_PRES,263.417,263.552,XAS,74,
have,VAF-=----A-,V_INF,263.552,263.687,XAS,74,
gjort,VAPA=S.I.-U,V_PARTC_PAST,263.687,263.919,XAS,74,
et,PI-NSU--U,PRON_UBST,263.919,264.152,XAS,74,
godt,ANPNSU=IU,ADJ,264.152,264.384,XAS,74,
indtryk,NCNSU==I,N,264.384,264.616,XAS,74,
....,,,346.781,347.987,AKS,107,
det,PP3NSU-NU,PRON_PERS,347.987,348.197,AKS,107,
gør,VADR=----A-,V_PRES,348.197,348.408,AKS,107,
næsten,RGU,ADV,348.408,348.618,AKS,107,
alle,ANP.PU=.U,ADJ,348.618,348.829,AKS,107,
drengene,NCCPU==D,N,348.829,349.039,AKS,107,
....,,,376.365,378.028,XAS,122,
nej,I=,INTERJ,378.028,378.23,XAS,122,
....,,,378.23,379.282,XAS,122,
næ,I=,INTERJ,379.282,379.529,XAS,122,
....,,,379.529,380.703,XAS,122,
øh,I=,INTERJ,380.703,381.022,XAS,122,
hvis,CS,UKONJ,381.022,381.34,XAS,122,
du,PP2CSN-NU,PRON_PERS,381.34,381.658,XAS,122,
skal,VADR=----A-,V_PRES,381.658,381.977,XAS,122,
prøve,VAF-=----A-,V_INF,381.977,382.156,XAS,122,
at,U=,UNIK,382.156,382.334,XAS,122,
beskrive,VAF-=----A-,V_INF,382.334,382.513,XAS,122,
sådan,RGU,ADV,382.513,382.692,XAS,122,
en,PI-CSU--U,PRON_UBST,382.692,382.87,XAS,122,
øh,I=,INTERJ,382.87,383.049,XAS,122,
sådan,RGU,ADV,383.049,383.227,XAS,122,
en,PI-CSU--U,PRON_UBST,383.227,383.406,XAS,122,
typisk,ANP.SU=IU,ADJ,383.406,383.731,XAS,122,
dag,NCCSU==I,N,383.731,384.056,XAS,122,
....,,,385.679,386.937,AKS,125,
hvad,PT-.SU--U,PRON_INTER_REL,386.937,387.116,AKS,125,
jeg,PP1CSN-NU,PRON_PERS,387.116,387.295,AKS,125,
laver,VADR=----A-,V_PRES,387.295,387.474,AKS,125,
en,PI-CSU--U,PRON_UBST,387.474,387.652,AKS,125,
hel,ANPCSU=IU,ADJ,387.652,387.831,AKS,125,
dag,NCCSU==I,N,387.831,388.01,AKS,125,
..,,,390.398,390.643,AKS,127,
hvad,PT-.SU--U,PRON_INTER_REL,390.643,390.952,AKS,127,
sådan,RGU,ADV,390.952,391.261,AKS,127,
en,PI-CSU--U,PRON_UBST,391.261,391.57,AKS,127,
typisk,ANP.SU=IU,ADJ,391.57,391.878,AKS,127,
dag,NCCSU==I,N,391.878,392.187,AKS,127,
der,U=,UNIK,392.187,392.496,AKS,127,
...,,,392.496,393.363,AKS,127,
står,VADR=----A-,V_PRES,393.363,393.706,AKS,127,
jeg,PP1CSN-NU,PRON_PERS,393.706,394.05,AKS,127,
op,RGU,ADV,394.05,394.393,AKS,127,
..,,,394.393,394.559,AKS,127,
cirka,RGU,ADV,394.559,394.783,AKS,127,
et,PI-NSU--U,PRON_UBST,394.783,395.006,AKS,127,
kvarter,NCNSU==I,N,395.006,395.23,AKS,127,
før,CS,UKONJ,395.23,395.453,AKS,127,
jeg,PP1CSN-NU,PRON_PERS,395.453,395.677,AKS,127,
skal,VADR=----A-,V_PRES,395.677,395.9,AKS,127,
møde,NCNSU==I,N,395.9,396.124,AKS,127,
eller,CC,SKONJ,408.526,408.705,AKS,131,
et,PI-NSU--U,PRON_UBST,408.705,408.885,AKS,131,
eller,CC,SKONJ,408.885,409.064,AKS,131,
andet,PI-NSU--U,PRON_UBST,409.064,409.244,AKS,131,
